system,donor,acceptor,R146_min_A,dG_bind,dE_MM,dG_solv,E_min_start,E_min_final,nres_A,nres_B,natom_cx,seconds
cp233_WT,A1,A2,5.79,-251.14772304557846,-683.9082082929181,432.7604852473396,106855937.86577451,-29654.70025443851,352,352,11144,42.2
cp233_WT,A2,A3,5.73,-264.0802722770468,-727.1156732712043,463.0354009941575,27765196293.449413,-29651.061467134787,352,352,11144,70.1
cp233_WT,A3,A4,6.01,-246.4669205864384,-752.6031449208931,506.1362243344547,3026192519.9829836,-29597.738760026325,352,352,11144,52.4
cp233_WT,A4,A5,5.79,-262.594836559746,-782.3266604519868,519.7318238922408,1182529.4127596053,-29533.979871344305,352,342,11066,48.0
cp233_WT,A5,A1,5.88,-252.31712558785057,-715.1283761823797,462.81125059452916,85071.0443889241,-29582.731731049236,342,352,11066,56.1
